"agent","erf","lo","hi"
"carbon dioxide",2.15627792517348,1.89805848078994,2.41399213374319
"methane",0.543982988363373,0.434602092707881,0.652753453412078
"water vapour",0.05,-4.41859750372272e-05,0.100078716892159
"albedo (land use)",-0.2,-0.300214777607651,-0.100031139633384
"aerosols",-1.05834026677119,-1.71191352719188,-0.414221200600588
