"facets","mean_forcing","mean_weighted","n_rows","slide18"
"0.05 - 0.5",-1.2681701127217,-1.32031333383216,10388,-0.38
"0.5 - 2",-0.943576693539324,-1.28862834183278,10372,-0.17
"10 - 12",3.97149939153546,3.39734521824311,6568,0.72
"2 - 4",0.754688864829754,1.59460348969745,10364,0.22
"4 - 6",-2.13852703625005,-2.18217561520274,10244,0
"6 - 8",0.0522643776354836,-0.246144122124277,9732,0.36
"8 - 10",-2.38440638750381,-2.34785163400344,8320,0.37
